year,month,orders,units,revenue,year_month
2016,01,50,221,215146.4241,2016-01
2016,02,49,223,156112.3228,2016-02
2016,03,55,213,180600.3285,2016-03
2016,04,43,176,167144.0512,2016-04
2016,05,51,224,205270.0091,2016-05
2016,06,45,199,210562.12449999998,2016-06
2016,07,50,211,199556.8089,2016-07
2016,08,63,251,225657.3767,2016-08
2016,09,67,281,273091.6097,2016-09
2016,10,64,254,212078.08049999998,2016-10
2016,11,43,181,182329.4124,2016-11
2016,12,55,229,199829.9792,2016-12
2017,01,50,229,285616.484,2017-01
2017,02,57,263,312923.747,2017-02
2017,03,67,296,308911.9018,2017-03
2017,04,57,248,227290.9131,2017-04
2017,05,57,241,268233.2379,2017-05
2017,06,63,296,378865.6535,2017-06
2017,07,52,249,229995.3979,2017-07
2017,08,65,287,290553.4554,2017-08
2017,09,53,237,293405.2561,2017-09
2017,10,65,296,310328.309,2017-10
2017,11,55,241,281577.9019,2017-11
2017,12,47,216,259505.9849,2017-12
2018,01,52,241,381430.0993,2018-01
2018,02,35,160,200658.06149999998,2018-02
2018,03,68,290,363990.9935,2018-03
2018,04,125,580,817921.8604,2018-04
2018,06,1,1,188.991,2018-06
2018,07,4,11,11337.9002,2018-07
2018,08,2,9,8377.8147,2018-08
2018,09,1,4,8963.9647,2018-09
2018,10,1,8,3781.1284,2018-10
2018,11,2,8,11362.007099999999,2018-11
2018,12,1,4,6516.9667,2018-12
