product_id,product_name,orders,units,revenue
7,Trek Slash 8 27.5 - 2016,101,154,555558.6111
9,Trek Conduit+ - 2016,101,145,389248.70249999996
4,Trek Fuel EX 8 29 - 2016,97,143,368472.72939999995
11,Surly Straggler 650b - 2016,97,151,226765.551
56,Trek Domane SLR 6 Disc - 2017,28,43,211584.6153
10,Surly Straggler - 2016,97,147,203507.62
8,Trek Remedy 29 Carbon Frameset - 2016,85,125,203380.8701
61,Trek Powerfly 8 FS Plus - 2017,25,41,188249.6235
58,Trek Madone 9.2 - 2017,26,39,175899.6482
51,Trek Silque SLR 8 Women's - 2017,19,29,174524.7315
